brand,category,classification_path,datasheet_url,long_description,model_number,product_image_url,product_name,scraped_timestamp,short_description,source_url,subcategory,technical_specs,type_id,classification_name,classification_reasoning
Flex,Products,115547.116749.116944.116976,https://hub.flex-tools.com/_f/744/74461513d15604e6b29f9f1dba65ccb0688ce8c8/GD_PG_%24KT-DB-%24KP-WLDC-%24PG-530375.pdf,TL 4000 18.0/230LED cordless building site spotlight with tripod 18.0 VOrder number: 530375EAN No.: 4030293242999,TL 4000 18 0 230,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F54d%2F54d2333a7f3a2a17c08dfadb7fb39fd9a4954fdd%2FPRO_PHO_MAI_tl4000-18-0-230.webp&w=3840&q=75,TL 4000 18.0/230 - FLEX,2025-12-12T18:40:04.627284,,https://www.flex-tools.com/en/products/lighting/tl-4000-18-0-230,Lighting,"{""battery voltage"": ""18 V"", ""battery capacity"": ""2.5 / 5.0 / 8.0 Ah"", ""voltage"": ""230.110 V"", ""colour temperature"": ""4000 CCT"", ""luminous flux"": ""1000/2000/4000 lm"", ""dimensions wxlxh"": ""1190 x 295 x 275 mm"", ""weight without battery pack"": ""8.2 kg""}",116976,"Special purpose electric tool (electrical, unspecified)","The product is an LED cordless building site spotlight, which can be classified as a special purpose electric tool. Among the given options, 'Special purpose electric tool (electrical, unspecified)' is the most suitable category as it encompasses a broad range of electric tools designed for specific tasks, including lighting. The product's technical specs, such as battery voltage, luminous flux, and dimensions, further support this classification."
Flex,Products,115547.116749.116944.116952,https://hub.flex-tools.com/_f/bc7/bc731b1b07b2a56e1b5f00afdb4dfe8fd0c6dead/PRO_DOC_MAN_FLEX-MXE-1000-1602.pdf,MXE 1602 + HP2 1601600 watt 2-speed mixer with 3-level speed switchOrder number: 495948EAN No.: 4030293224490,MXE 1602 HP2 160,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F11d%2F11dfc5ddd6bb1a542f44499679c86c3ca932050f%2FPRO_PHO_MAI_mxe1602-hp2-160-495948.webp&w=3840&q=75,MXE 1602 + HP2 160 - FLEX,2025-12-12T18:40:17.915773,,https://www.flex-tools.com/en/products/mixers/mxe-1602-hp2-160,Mixers,"{""power consumption"": ""1600 W"", ""power output"": ""925 W"", ""voltage"": ""230 V"", ""frequency"": ""50/60 Hz"", ""max mixing basket diameter"": ""160 mm"", ""tool holder mixer"": ""M14"", ""no-load speed 1st gear"": ""0 - 150/300/530 rpm"", ""no-load speed 2nd gear"": ""0 - 200/400/780 rpm"", ""clamping collar diameter"": ""53 mm"", ""cable length"": ""4.0 m"", ""dimensions wxlxh"": ""343 x 405 x 215 mm"", ""weight"": ""5.0 kg""}",116952,Mixer (electric),"The product is described as a 1600 watt 2-speed mixer, which aligns with the characteristics of an electric mixer. The technical specs provided, such as power consumption, voltage, and frequency, further support this classification. Among the candidate options, 'Mixer (electric)' is the most specific and relevant type-level category for this product."
Flex,Products,115547.116749.116852.116855,,"Xmas 2025Advent Calendar 2025 with the 4 V cordless screwdriver, comprehensive bit and drill bit box and many limited edition FLEX hand toolsOrder number: 534227",XMAS 2025,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F38e%2F38ee397617dfbbd93f49aa5e9146b5aa436c86c8%2FPRO_PHO_MAI_Adventskalender1-2025.webp&w=3840&q=75,Xmas 2025 - FLEX,2025-12-12T18:40:21.207282,,https://www.flex-tools.com/en/products/promotions/xmas-2025,Promotions,,116855,Electric power generator (accessories),"The product description mentions a '4 V cordless screwdriver', which is an electric tool. Among the given options, 'Electric power generator (accessories)' is the closest match to an electric screwdriver, making it the most suitable type-level category for this product."
Flex,Accessories,115547.116749.117008.117012,,"For attaching all standard boxes to the STACK PACK system. With the adapter plate, the STACK PACK boxes can be combined with the following system boxes: Metabo/metaBOX, Makita/MakPac, FLEX/L-Boxx, Festool/Systainer, DeWalt/Tstak, Bosch/L-Boxx.",,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F72e%2F72e44ec41f137a1cd9189e6a3bb681e430490def%2FPRO_PHO_MAI_z534077-01.webp&w=3840&q=75,SP-MAP - FLEX,2025-12-12T18:40:23.285326,,https://www.flex-tools.com/en/accessories/carrying-case-system/sp-map,Carrying Case System,"{""packaging unit"": ""1 Cont.""}",117012,Water pump attachment system for drilling machines,"The product is an adapter plate for attaching standard boxes to the STACK PACK system, which is an accessory for a carrying case system. Among the given options, 'Water pump attachment system for drilling machines' is the closest match as it also falls under the category of accessories or attachment systems for tools or equipment, even though it's not a perfect match. However, given the options provided, this seems to be the most relevant category as it involves an attachment or accessory for a system, similar to how the SP-MAP - FLEX is an adapter for the STACK PACK system."
Flex,Accessories,115547.116749.116798.116815,,TKH SP WSSide tool rack railsOrder number: 531471EAN No.: 4030293253117,,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F4c2%2F4c27e5c9de34528dfa85ea6df59131abca29abdb%2FPRO_PHO_MAI_z531471.webp&w=3840&q=75,TKH SP WS - FLEX,2025-12-12T18:40:28.686882,,https://www.flex-tools.com/en/accessories/carrying-case-system/tkh-sp-ws,Carrying Case System,"{""packaging unit"": ""1 Cont.""}",116815,"Saw (electrical, accessories)","The product is described as a 'tool rack rails' which is an accessory, and the category 'Saw (electrical, accessories)' is the closest match among the given options, as it specifically mentions 'accessories' and is related to tools."
Flex,Products,115547.116749.116979.116991,https://hub.flex-tools.com/_f/088/0881bdaa5e4c18d6e090ed2570c8a3295b5f515d/GD_PG_%24KT-DB-%24KP-LKS-%24PG-511064.pdf,WLS-70-190Mobile tripodOrder number: 511064EAN No.: 4030293233683,WLS-70-190,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2Fdd7%2Fdd7ae21d76e93009cb863c600f86cdadf11c04e1%2FPRO_PHO_MAI_WLS-70-190_%2523SALL_%2523AIN_%2523V1.webp&w=3840&q=75,WLS-70-190 - FLEX,2025-12-12T18:40:31.044089,,https://www.flex-tools.com/en/products/measuring-technology-laser/laser-tripods/wls-70-190,Measuring Technology Laser,"{""stand operating area"": ""0,7 - 1,90 m"", ""weight"": ""6.15 kg""}",116991,Detection device,"The product is a laser-based measuring technology device, and 'Detection device' is the most relevant category among the provided options, as it can encompass various types of detection or measurement tools, including laser-based ones."
Flex,Products,115547.116749.116979.116992,https://hub.flex-tools.com/_f/74a/74a76c976de92075e7eb9b77f9f32466cce3980e/GD_PG_%24KT-DB-%24KP-LKS-%24PG-398624.pdf,LKS 65-170 F 1/4Laser tripodOrder number: 398624EAN No.: 4030293168367,LKS 65-170 F 1/4,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2Fcfd%2Fcfdb0bf1c3ee33401b015cd97ada39c0c3793d50%2FPRO_PHO_MAI_LKS65-170F-1-4_%2523SALL_%2523AIN_%2523V1.webp&w=3840&q=75,LKS 65-170 F 1/4 - FLEX,2025-12-12T18:40:33.616852,,https://www.flex-tools.com/en/products/measuring-technology-laser/laser-tripods/lks-65-170-f-1-4,Measuring Technology Laser,"{""stand operating area"": ""0,65 - 1,65 m"", ""connection thread"": ""1/4 \"""", ""weight"": ""1.4 kg""}",116992,Wood and plaster moisture meter,"The product is a laser tripod, which is used for measuring technology. Among the given options, 'Wood and plaster moisture meter' is the closest in terms of being a measuring device, even though it's not a perfect match. However, it's the most relevant option provided, as other options are unrelated to measuring technology or tripods."
Flex,Products,115547.116749.116979.116991,https://hub.flex-tools.com/_f/743/74375f475afbdd51b8dc6bc9e0109eaf324a3000/GD_PG_%24KT-DB-%24KP-LKS-%24PG-398616.pdf,LKS 100-300 5/8Laser tripodOrder number: 398616EAN No.: 4030293168374,LKS 100-300 5/8,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F3e8%2F3e8bf73ad9c68262d93374b1b8db5b5d00ab7937%2FPRO_PHO_MAI_lks100-300-5-8.webp&w=3840&q=75,LKS 100-300 5/8 - FLEX,2025-12-12T18:40:35.273957,,https://www.flex-tools.com/en/products/measuring-technology-laser/laser-tripods/lks-100-300-5-8,Measuring Technology Laser,"{""stand operating area"": ""1,01 - 3,00 m"", ""connection thread"": ""5/8 \"""", ""weight"": ""5.7 kg""}",116991,Detection device,"The product is a laser tripod, which is used for measuring technology. Among the given options, 'Detection device' is the most relevant type as it can be related to measuring and detection purposes, and laser tripods are often used in detection and measurement applications."
Flex,Accessories,115547.116749.117008.117017,,"Consisting of two parts for fastening to the aluminium-reinforced corners of the boxes, incl. screw-on adapter..",,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2Fce1%2Fce1abf4174a4fb0217da379b9fd1b92c838d8309%2FPRO_PHO_MAI_z531472.webp&w=3840&q=75,TKH SP KW - FLEX,2025-12-12T18:40:37.026884,,https://www.flex-tools.com/en/accessories/carrying-case-system/tkh-sp-kw,Carrying Case System,"{""packaging unit"": ""1 Cont.""}",117017,Component for electrical tool (accessories),"The product is described as an accessory for fastening to aluminium-reinforced corners of boxes, which suggests it is a component or accessory for a larger system, likely an electrical tool. The 'Component for electrical tool (accessories)' category is the most fitting as it directly relates to accessories for electrical tools, which aligns with the product's purpose and description."
Flex,Accessories,115547.116749.116798.116815,,"Consisting of two parts for fastening to the aluminium-reinforced corners of the boxes, incl. screw-on adapter..",,https://www.flex-tools.com/_next/image?url=https%3A%2F%2Fhub.flex-tools.com%2F_f%2F5f6%2F5f6f24075b745263171adf2ce8f7fa27da2eeed1%2FPRO_PHO_MAI_z531469.webp&w=3840&q=75,TKH SP ADL - FLEX,2025-12-12T18:40:38.178333,,https://www.flex-tools.com/en/accessories/carrying-case-system/tkh-sp-adl,Carrying Case System,"{""packaging unit"": ""1 Cont.""}",116815,"Saw (electrical, accessories)","The product is described as a carrying case system with parts for fastening, which suggests it is an accessory. Among the given options, 'Saw (electrical, accessories)' is the closest match to an accessory category, even though it specifically mentions 'saw', the term 'accessories' makes it the most suitable choice for a carrying case system."
